73	h5nc	53		
-	128	Graphic/Sprite/Face/face_19.png	128	256
-	129	Graphic/Sprite/Face/face_20.png	128	256
-	130	Graphic/Sprite/Face/face_21.png	128	256
-	131	Graphic/Sprite/Face/face_22.png	256	256
-	132	Graphic/Sprite/Face/face_23.png	128	256
-	133	Graphic/Sprite/Face/face_24.png	96	208
#		Boss(160~209)		
-	160	Graphic/Sprite/Boss/boss.png	512	512
#		BossEx(210~259)		
-	215	Graphic/Sprite/Boss/boss_06_ex.png	512	512
-	233	Graphic/Sprite/Boss/boss_24_ex.png	256	256
#		PlayerSpellCutIn(260~309)		
-	260	Graphic/Sprite/Player/SpellCutIn/pl_01_cutin.png	128	128
-	261	Graphic/Sprite/Player/SpellCutIn/pl_02_cutin.png	128	128
-	262	Graphic/Sprite/Player/SpellCutIn/pl_03_cutin.png	128	128
-	263	Graphic/Sprite/Player/SpellCutIn/pl_04_cutin.png	128	128
-	264	Graphic/Sprite/Player/SpellCutIn/pl_05_cutin.png	128	128
-	265	Graphic/Sprite/Player/SpellCutIn/pl_06_cutin.png	128	128
-	266	Graphic/Sprite/Player/SpellCutIn/pl_07_cutin.png	128	128
-	267	Graphic/Sprite/Player/SpellCutIn/pl_08_cutin.png	128	128
-	268	Graphic/Sprite/Player/SpellCutIn/pl_09_cutin.png	128	128
-	269	Graphic/Sprite/Player/SpellCutIn/pl_10_cutin.png	128	128
-	270	Graphic/Sprite/Player/SpellCutIn/pl_11_cutin.png	128	128
-	271	Graphic/Sprite/Player/SpellCutIn/pl_12_cutin.png	128	128
-	272	Graphic/Sprite/Player/SpellCutIn/pl_13_cutin.png	128	128
-	273	Graphic/Sprite/Player/SpellCutIn/pl_14_cutin.png	128	128
-	274	Graphic/Sprite/Player/SpellCutIn/pl_15_cutin.png	128	128
-	275	Graphic/Sprite/Player/SpellCutIn/pl_16_cutin.png	128	128
-	276	Graphic/Sprite/Player/SpellCutIn/pl_17_cutin.png	128	128
-	277	Graphic/Sprite/Player/SpellCutIn/pl_18_cutin.png	128	128
-	278	Graphic/Sprite/Player/SpellCutIn/pl_19_cutin.png	128	128
-	279	Graphic/Sprite/Player/SpellCutIn/pl_20_cutin.png	128	128
-	280	Graphic/Sprite/Player/SpellCutIn/pl_21_cutin.png	128	128
-	281	Graphic/Sprite/Player/SpellCutIn/pl_22_cutin.png	128	128
-	282	Graphic/Sprite/Player/SpellCutIn/pl_23_cutin.png	128	128
-	283	Graphic/Sprite/Player/SpellCutIn/pl_24_cutin.png	128	128
#		PlayerDrainZone(310~359)		
-	310	Graphic/Sprite/Player/DrainZone/pl_01_drain.png	64	64
-	311	Graphic/Sprite/Player/DrainZone/pl_02_drain.png	256	256
-	312	Graphic/Sprite/Player/DrainZone/pl_03_drain.png	256	256
-	313	Graphic/Sprite/Player/DrainZone/pl_04_drain.png	256	256
-	315	Graphic/Sprite/Player/DrainZone/pl_06_drain.png	256	256
-	316	Graphic/Sprite/Player/DrainZone/pl_07_drain.png	256	256
-	318	Graphic/Sprite/Player/DrainZone/pl_09_drain.png	1	1
-	322	Graphic/Sprite/Player/DrainZone/pl_13_drain.png	256	256
-	323	Graphic/Sprite/Player/DrainZone/pl_14_drain.png	256	256
-	325	Graphic/Sprite/Player/DrainZone/pl_16_drain.png	256	256
-	328	Graphic/Sprite/Player/DrainZone/pl_19_drain.png	256	256
#		Other(360~459)		
-	360	Graphic/Scene/title.png	256	256
-	361	Graphic/Scene/select.png	256	256
-	362	Graphic/Scene/select.png	256	256
#		Effect(460~569)		
#		Scene(560~659)		
-	560	Graphic/Scene/Scene/scene_01_1.png	128	128
-	561	Graphic/Scene/Scene/scene_01_2.png	256	256
-	562	Graphic/Scene/Scene/scene_03_1.png	128	128
-	564	Graphic/Scene/Scene/scene_03_3.png	128	128
-	565	Graphic/Scene/Scene/scene_03_4.png	128	128
-	567	Graphic/Scene/Scene/scene_04_1.png	128	128
-	569	Graphic/Scene/Scene/scene_04_3.png	128	128
-	570	Graphic/Scene/Scene/scene_04_4.png	128	128
-	571	Graphic/Scene/Scene/scene_05_1.png	256	256
-	572	Graphic/Scene/Scene/scene_05_2.png	256	256
-	573	Graphic/Scene/Scene/scene_06_1.png	128	128
-	574	Graphic/Scene/Scene/scene_06_2.png	128	128
-	575	Graphic/Scene/Scene/scene_06_3.png	128	128
-	576	Graphic/Scene/Scene/scene_06_4.png	128	128
-	577	Graphic/Scene/Scene/scene_07_1.png	128	128
-	578	Graphic/Scene/Scene/scene_07_2.png	128	128
-	579	Graphic/Scene/Scene/scene_08.png	128	128
-	580	Graphic/Scene/Scene/scene_09_1.png	256	256
-	581	Graphic/Scene/Scene/scene_09_2.png	128	128
-	582	Graphic/Scene/Scene/scene_10_1.png	128	128
-	583	Graphic/Scene/Scene/scene_10_2.png	128	128
-	584	Graphic/Scene/Scene/scene_10_3.png	128	128
-	586	Graphic/Scene/Scene/scene_14_1.png	128	128
-	587	Graphic/Scene/Scene/scene_14_2.png	128	128
-	588	Graphic/Scene/Scene/scene_15_1.png	128	128
-	589	Graphic/Scene/Scene/scene_15_2.png	128	128
-	590	Graphic/Scene/Scene/scene_15_3.png	128	128
-	591	Graphic/Scene/Scene/scene_15_4.png	128	128
-	592	Graphic/Scene/Scene/scene_16_1.png	128	128
-	593	Graphic/Scene/Scene/scene_16_2.png	128	128
-	594	Graphic/Scene/Scene/scene_16_3.png	128	128
-	595	Graphic/Scene/Scene/scene_16_4.png	128	128
-	596	Graphic/Scene/Scene/scene_17_1.png	128	128
-	597	Graphic/Scene/Scene/scene_17_2.png	256	256
-	598	Graphic/Scene/Scene/scene_18_1.png	256	256
-	599	Graphic/Scene/Scene/scene_18_2.png	128	128
-	600	Graphic/Scene/Scene/scene_18_3.png	128	128
-	601	Graphic/Scene/Scene/scene_19_1.png	64	64
-	602	Graphic/Scene/Scene/scene_19_2.png	64	64
-	603	Graphic/Scene/Scene/scene_19_3.png	64	64
-	604	Graphic/Scene/Scene/scene_22_1.png	128	128
-	606	Graphic/Scene/Scene/scene_22_3.png	128	128
-	607	Graphic/Scene/Scene/scene_22_4.png	128	128
-	608	Graphic/Scene/Scene/scene_23_1.png	128	128
-	609	Graphic/Scene/Scene/scene_23_2.png	128	128
-	610	Graphic/Scene/Scene/scene_24_1.png	128	128
-	611	Graphic/Scene/Scene/scene_24_2.png	256	128
#		Spell(660~759)		
-	660	Graphic/Scene/Spell/spell_01_1.png	128	128
-	661	Graphic/Scene/Spell/spell_01_2.png	128	128
-	662	Graphic/Scene/Spell/spell_02_1.png	128	128
-	663	Graphic/Scene/Spell/spell_02_2.png	128	128
-	664	Graphic/Scene/Spell/spell_03.png	128	128
-	665	Graphic/Scene/Spell/spell_04_1.png	128	128
-	666	Graphic/Scene/Spell/spell_04_2.png	128	128
-	667	Graphic/Scene/Spell/spell_05_1.png	128	128
-	668	Graphic/Scene/Spell/spell_05_2.png	128	128
-	669	Graphic/Scene/Spell/spell_06_1.png	128	128
-	670	Graphic/Scene/Spell/spell_06_2.png	128	128
-	671	Graphic/Scene/Spell/spell_07_1.png	128	128
-	672	Graphic/Scene/Spell/spell_07_2.png	128	128
-	673	Graphic/Scene/Spell/spell_08.png	128	128
-	674	Graphic/Scene/Spell/spell_09_1.png	128	128
-	675	Graphic/Scene/Spell/spell_09_2.png	128	128
-	676	Graphic/Scene/Spell/spell_10_1.png	128	128
-	677	Graphic/Scene/Spell/spell_10_2.png	128	128
-	678	Graphic/Scene/Spell/spell_13_1.png	128	128
-	679	Graphic/Scene/Spell/spell_13_2.png	128	128
-	680	Graphic/Scene/Spell/spell_14_1.png	128	128
-	681	Graphic/Scene/Spell/spell_14_2.png	128	128
-	682	Graphic/Scene/Spell/spell_15_1.png	128	128
-	683	Graphic/Scene/Spell/spell_15_2.png	128	128
-	684	Graphic/Scene/Spell/spell_16_1.png	128	128
-	685	Graphic/Scene/Spell/spell_17.png	128	128
-	686	Graphic/Scene/Spell/spell_18_1.png	128	128
-	687	Graphic/Scene/Spell/spell_18_2.png	128	128
-	688	Graphic/Scene/Spell/spell_19_1.png	128	128
-	689	Graphic/Scene/Spell/spell_19_2.png	128	128
-	690	Graphic/Scene/Spell/spell_22_1.png	128	128
-	691	Graphic/Scene/Spell/spell_22_2.png	128	128
-	692	Graphic/Scene/Spell/spell_23_1.png	128	128
-	693	Graphic/Scene/Spell/spell_23_2.png	128	128
