73	h5nc	53		
-	64	Graphic/Sprite/Player/Player/pl_15_ex.png	256	256
-	66	Graphic/Sprite/Player/Player/pl_17_ex.png	256	256
-	69	Graphic/Sprite/Player/Player/pl_01_ex.png	256	256
-	71	Graphic/Sprite/Player/Player/pl_22_ex.png	256	256
-	73	Graphic/Sprite/Player/Player/pl_24_ex.png	256	256
-	82	Graphic/Sprite/Player/Player/pl_15_ex_2.png	128	128
#		Face(110~159)		
-	110	Graphic/Sprite/Face/face_01.png	256	512
-	111	Graphic/Sprite/Face/face_02.png	256	512
-	112	Graphic/Sprite/Face/face_03.png	256	512
-	113	Graphic/Sprite/Face/face_04.png	256	512
-	114	Graphic/Sprite/Face/face_05.png	256	512
-	115	Graphic/Sprite/Face/face_06.png	256	512
-	116	Graphic/Sprite/Face/face_07.png	256	512
-	117	Graphic/Sprite/Face/face_08.png	256	512
-	118	Graphic/Sprite/Face/face_09.png	256	512
-	119	Graphic/Sprite/Face/face_10.png	256	512
-	120	Graphic/Sprite/Face/face_11.png	256	512
-	121	Graphic/Sprite/Face/face_12.png	256	512
-	122	Graphic/Sprite/Face/face_13.png	512	512
-	123	Graphic/Sprite/Face/face_14.png	256	512
-	124	Graphic/Sprite/Face/face_15.png	256	512
-	125	Graphic/Sprite/Face/face_16.png	256	512
-	126	Graphic/Sprite/Face/face_17.png	256	512
-	127	Graphic/Sprite/Face/face_18.png	256	512
-	128	Graphic/Sprite/Face/face_19.png	256	512
-	129	Graphic/Sprite/Face/face_20.png	256	512
-	130	Graphic/Sprite/Face/face_21.png	256	512
-	131	Graphic/Sprite/Face/face_22.png	512	512
-	132	Graphic/Sprite/Face/face_23.png	256	512
-	133	Graphic/Sprite/Face/face_24.png	192	416
#		Boss(160~209)		
-	160	Graphic/Sprite/Boss/boss_01.png	256	256
-	161	Graphic/Sprite/Boss/boss_02.png	256	256
-	162	Graphic/Sprite/Boss/boss_03.png	256	256
-	163	Graphic/Sprite/Boss/boss_04.png	256	256
-	164	Graphic/Sprite/Boss/boss_05.png	256	256
-	165	Graphic/Sprite/Boss/boss_06.png	256	256
-	166	Graphic/Sprite/Boss/boss_07.png	256	256
-	167	Graphic/Sprite/Boss/boss_08.png	256	256
-	168	Graphic/Sprite/Boss/boss_09.png	256	256
-	169	Graphic/Sprite/Boss/boss_10.png	256	256
-	170	Graphic/Sprite/Boss/boss_11.png	256	256
-	171	Graphic/Sprite/Boss/boss_12.png	256	256
-	172	Graphic/Sprite/Boss/boss_13.png	256	256
-	173	Graphic/Sprite/Boss/boss_14.png	256	256
-	174	Graphic/Sprite/Boss/boss_15.png	256	256
-	175	Graphic/Sprite/Boss/boss_16.png	256	256
-	176	Graphic/Sprite/Boss/boss_17.png	256	256
-	177	Graphic/Sprite/Boss/boss_18.png	256	256
-	178	Graphic/Sprite/Boss/boss_19.png	256	256
-	179	Graphic/Sprite/Boss/boss_20.png	256	256
-	180	Graphic/Sprite/Boss/boss_21.png	256	256
-	181	Graphic/Sprite/Boss/boss_22.png	512	512
-	182	Graphic/Sprite/Boss/boss_23.png	256	256
-	183	Graphic/Sprite/Boss/boss_24.png	256	256
#		BossEx(210~259)		
-	215	Graphic/Sprite/Boss/boss_06_ex.png	512	512
-	233	Graphic/Sprite/Boss/boss_24_ex.png	256	256
#		PlayerSpellCutIn(260~309)		
-	260	Graphic/Sprite/Player/SpellCutIn/pl_01_cutin.png	256	256
-	261	Graphic/Sprite/Player/SpellCutIn/pl_02_cutin.png	256	256
-	262	Graphic/Sprite/Player/SpellCutIn/pl_03_cutin.png	256	256
-	263	Graphic/Sprite/Player/SpellCutIn/pl_04_cutin.png	256	256
-	264	Graphic/Sprite/Player/SpellCutIn/pl_05_cutin.png	256	256
-	265	Graphic/Sprite/Player/SpellCutIn/pl_06_cutin.png	256	256
-	266	Graphic/Sprite/Player/SpellCutIn/pl_07_cutin.png	256	256
-	267	Graphic/Sprite/Player/SpellCutIn/pl_08_cutin.png	256	256
-	268	Graphic/Sprite/Player/SpellCutIn/pl_09_cutin.png	256	256
-	269	Graphic/Sprite/Player/SpellCutIn/pl_10_cutin.png	256	256
-	270	Graphic/Sprite/Player/SpellCutIn/pl_11_cutin.png	256	256
-	271	Graphic/Sprite/Player/SpellCutIn/pl_12_cutin.png	256	256
-	272	Graphic/Sprite/Player/SpellCutIn/pl_13_cutin.png	256	256
-	273	Graphic/Sprite/Player/SpellCutIn/pl_14_cutin.png	256	256
-	274	Graphic/Sprite/Player/SpellCutIn/pl_15_cutin.png	256	256
-	275	Graphic/Sprite/Player/SpellCutIn/pl_16_cutin.png	256	256
-	276	Graphic/Sprite/Player/SpellCutIn/pl_17_cutin.png	256	256
-	277	Graphic/Sprite/Player/SpellCutIn/pl_18_cutin.png	256	256
-	278	Graphic/Sprite/Player/SpellCutIn/pl_19_cutin.png	256	256
-	279	Graphic/Sprite/Player/SpellCutIn/pl_20_cutin.png	256	256
-	280	Graphic/Sprite/Player/SpellCutIn/pl_21_cutin.png	256	256
-	281	Graphic/Sprite/Player/SpellCutIn/pl_22_cutin.png	256	256
-	282	Graphic/Sprite/Player/SpellCutIn/pl_23_cutin.png	256	256
-	283	Graphic/Sprite/Player/SpellCutIn/pl_24_cutin.png	256	256
#		PlayerDrainZone(310~359)		
-	310	Graphic/Sprite/Player/DrainZone/pl_01_drain.png	64	64
-	311	Graphic/Sprite/Player/DrainZone/pl_02_drain.png	256	256
-	312	Graphic/Sprite/Player/DrainZone/pl_03_drain.png	256	256
-	313	Graphic/Sprite/Player/DrainZone/pl_04_drain.png	256	256
-	315	Graphic/Sprite/Player/DrainZone/pl_06_drain.png	256	256
-	316	Graphic/Sprite/Player/DrainZone/pl_07_drain.png	256	256
-	318	Graphic/Sprite/Player/DrainZone/pl_09_drain.png	1	1
-	322	Graphic/Sprite/Player/DrainZone/pl_13_drain.png	256	256
-	323	Graphic/Sprite/Player/DrainZone/pl_14_drain.png	256	256
-	325	Graphic/Sprite/Player/DrainZone/pl_16_drain.png	256	256
-	328	Graphic/Sprite/Player/DrainZone/pl_19_drain.png	256	256
#		Other(360~459)		
-	360	Graphic/Scene/title.png	512	512
-	361	Graphic/Scene/select.png	512	512
-	362	Graphic/Scene/replay.png	512	512
#		Effect(460~569)		
#		Scene(560~659)		
-	560	Graphic/Scene/Scene/scene_01_1.png	256	256
-	561	Graphic/Scene/Scene/scene_01_2.png	512	512
-	562	Graphic/Scene/Scene/scene_03_1.png	256	256
-	564	Graphic/Scene/Scene/scene_03_3.png	256	256
-	565	Graphic/Scene/Scene/scene_03_4.png	256	256
-	567	Graphic/Scene/Scene/scene_04_1.png	256	256
-	569	Graphic/Scene/Scene/scene_04_3.png	256	256
-	570	Graphic/Scene/Scene/scene_04_4.png	256	256
-	571	Graphic/Scene/Scene/scene_05_1.png	512	512
-	572	Graphic/Scene/Scene/scene_05_2.png	512	512
-	573	Graphic/Scene/Scene/scene_06_1.png	256	256
-	574	Graphic/Scene/Scene/scene_06_2.png	256	256
-	575	Graphic/Scene/Scene/scene_06_3.png	256	256
-	576	Graphic/Scene/Scene/scene_06_4.png	256	256
-	577	Graphic/Scene/Scene/scene_07_1.png	256	256
-	578	Graphic/Scene/Scene/scene_07_2.png	256	256
-	579	Graphic/Scene/Scene/scene_08.png	256	256
-	580	Graphic/Scene/Scene/scene_09_1.png	512	512
-	581	Graphic/Scene/Scene/scene_09_2.png	256	256
-	582	Graphic/Scene/Scene/scene_10_1.png	256	256
-	583	Graphic/Scene/Scene/scene_10_2.png	256	256
-	584	Graphic/Scene/Scene/scene_10_3.png	256	256
-	586	Graphic/Scene/Scene/scene_14_1.png	256	256
-	587	Graphic/Scene/Scene/scene_14_2.png	256	256
-	588	Graphic/Scene/Scene/scene_15_1.png	256	256
-	589	Graphic/Scene/Scene/scene_15_2.png	256	256
-	590	Graphic/Scene/Scene/scene_15_3.png	256	256
-	591	Graphic/Scene/Scene/scene_15_4.png	256	256
-	592	Graphic/Scene/Scene/scene_16_1.png	256	256
-	593	Graphic/Scene/Scene/scene_16_2.png	256	256
-	594	Graphic/Scene/Scene/scene_16_3.png	256	256
-	595	Graphic/Scene/Scene/scene_16_4.png	256	256
-	596	Graphic/Scene/Scene/scene_17_1.png	256	256
-	597	Graphic/Scene/Scene/scene_17_2.png	512	512
-	598	Graphic/Scene/Scene/scene_18_1.png	512	512
-	599	Graphic/Scene/Scene/scene_18_2.png	256	256
-	600	Graphic/Scene/Scene/scene_18_3.png	256	256
-	601	Graphic/Scene/Scene/scene_19_1.png	128	128
-	602	Graphic/Scene/Scene/scene_19_2.png	128	128
-	603	Graphic/Scene/Scene/scene_19_3.png	128	128
-	604	Graphic/Scene/Scene/scene_22_1.png	256	256
-	606	Graphic/Scene/Scene/scene_22_3.png	256	256
-	607	Graphic/Scene/Scene/scene_22_4.png	256	256
-	608	Graphic/Scene/Scene/scene_23_1.png	256	256
-	609	Graphic/Scene/Scene/scene_23_2.png	256	256
-	610	Graphic/Scene/Scene/scene_24_1.png	256	256
-	611	Graphic/Scene/Scene/scene_24_2.png	512	256
#		Spell(660~759)		
-	660	Graphic/Scene/Spell/spell_01_1.png	256	256
-	661	Graphic/Scene/Spell/spell_01_2.png	256	256
-	662	Graphic/Scene/Spell/spell_02_1.png	256	256
-	663	Graphic/Scene/Spell/spell_02_2.png	256	256
-	664	Graphic/Scene/Spell/spell_03.png	256	256
-	665	Graphic/Scene/Spell/spell_04_1.png	256	256
-	666	Graphic/Scene/Spell/spell_04_2.png	256	256
-	667	Graphic/Scene/Spell/spell_05_1.png	256	256
-	668	Graphic/Scene/Spell/spell_05_2.png	256	256
-	669	Graphic/Scene/Spell/spell_06_1.png	256	256
-	670	Graphic/Scene/Spell/spell_06_2.png	256	256
-	671	Graphic/Scene/Spell/spell_07_1.png	256	256
-	672	Graphic/Scene/Spell/spell_07_2.png	256	256
-	673	Graphic/Scene/Spell/spell_08.png	256	256
-	674	Graphic/Scene/Spell/spell_09_1.png	256	256
-	675	Graphic/Scene/Spell/spell_09_2.png	256	256
-	676	Graphic/Scene/Spell/spell_10_1.png	256	256
-	677	Graphic/Scene/Spell/spell_10_2.png	256	256
-	678	Graphic/Scene/Spell/spell_13_1.png	256	256
-	679	Graphic/Scene/Spell/spell_13_2.png	256	256
-	680	Graphic/Scene/Spell/spell_14_1.png	256	256
-	681	Graphic/Scene/Spell/spell_14_2.png	256	256
-	682	Graphic/Scene/Spell/spell_15_1.png	256	256
-	683	Graphic/Scene/Spell/spell_15_2.png	256	256
-	684	Graphic/Scene/Spell/spell_16_1.png	256	256
-	685	Graphic/Scene/Spell/spell_17.png	256	256
-	686	Graphic/Scene/Spell/spell_18_1.png	256	256
-	687	Graphic/Scene/Spell/spell_18_2.png	256	256
-	688	Graphic/Scene/Spell/spell_19_1.png	256	256
-	689	Graphic/Scene/Spell/spell_19_2.png	256	256
-	690	Graphic/Scene/Spell/spell_22_1.png	256	256
-	691	Graphic/Scene/Spell/spell_22_2.png	256	256
-	692	Graphic/Scene/Spell/spell_23_1.png	256	256
-	693	Graphic/Scene/Spell/spell_23_2.png	256	256
