73	h5nc	4C															
Comment	Index	UserID	ChargeBullet	SIID	TimeMod	Flag	Power	DeleteTime	Arrange	Angle	AddAngle	Speed	AccelSpeed	Scale	Xbias	Ybias	SE
-	64	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	13500	0	8	0	1	0	0	60
-	65	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	15000	0	8	0	1	0	0	60
-	66	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	16500	0	8	0	1	0	0	60
-	67	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	18000	0	8	0	1	0	0	60
-	68	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	19500	0	8	0	1	0	0	60
-	69	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	21000	0	8	0	1	0	0	60
-	70	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	22500	0	8	0	1	0	0	60
-	71	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	24000	0	8	0	1	0	0	60
-	72	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	25500	0	8	0	1	0	0	60
-	73	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	27000	0	8	0	1	0	0	60
-	74	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	28500	0	8	0	1	0	0	60
-	75	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	30000	0	8	0	1	0	0	60
-	76	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	31500	0	8	0	1	0	0	60
-	77	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	33000	0	8	0	1	0	0	60
-	78	7	1	SI_PlayerBullet_07_1_0	1	200	15	32	0	34500	0	8	0	1	0	0	60
-	79	8	0	SI_PlayerBullet_08_0_0	4	1700	8	0	0	0	0	18	0	1	10	15	60
-	80	8	0	SI_PlayerBullet_08_0_0	4	1700	8	0	0	0	0	18	0	1	-10	15	60
-	81	8	0	SI_PlayerBullet_08_0_0	4	1700	8	0	0	18000	0	18	0	1	0	0	60
-	82	8	1	SI_PlayerBullet_08_0_0	3	1700	10	0	1	0	0	18	0	1	0	0	60
-	83	9	0	SI_PlayerBullet_09_0_0	4	1600	8	0	0	0	0	18	0	1	10	15	60
-	84	9	0	SI_PlayerBullet_09_0_0	4	1600	8	0	0	0	0	18	0	1	-10	15	60
-	85	9	1	SI_PlayerBullet_09_1_0	2	200	10	0	1	0	0	12	0	1	0	0	60
-	86	9	1	SI_PlayerBullet_09_1_0	2	200	10	0	2	0	0	12	0	1	0	0	60
-	87	22	0	SI_PlayerBullet_22_0_0	4	1710	8	0	0	0	0	18	0	1	10	15	60
-	88	22	0	SI_PlayerBullet_22_0_0	4	1710	8	0	0	0	0	18	0	1	-10	15	60
-	89	22	1	SI_PlayerBullet_22_1_0	8	1600	8	0	1	0	0	12	0.1	1	0	0	60
-	90	22	1	SI_PlayerBullet_22_2_0	8	1D00	8	0	2	-1600	0	12	0.1	1	0	0	60
-	91	22	1	SI_PlayerBullet_22_2_0	8	1D00	8	0	3	1600	0	12	0.1	1	0	0	60
