73	h5nc	49																											
Comment	Index	FaceIndex	SIID	Collision_W	Collision_H	StandFrame	StandShake	RightPreFrame	RightFrame	LeftPreFrame	LeftFrame	AttackPreFrame	AttackFrame	StorePreFrame	StoreFrame	NMaxSet	Nmax	EffID	ShotEffID	CollapseEffID	EXPoint	GhostPoint	BulletPoint	SpellPoint	BlastMaxtime	BlastR	BlastPower	Name	Ename
-	14	14	SI_Boss_Reisen_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	‚èœ…°§Éûï“»A‘∫°§•§• •–	Reisen Udongein Inaba
-	15	15	SI_Boss_Alice_0	16	24	1	1	4	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	•¢•Í•π°§•ﬁ©`•¨•»•Ì•§•…	Alice Margatroid
-	16	16	SI_Boss_Yamaxanadu_0	16	24	4	1	3	1	0	0	0	1	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	Àƒºæ”≥ä™°§•‰•ﬁ•∂• •…••	Shikieiki Yamaxanadu
-	17	17	SI_Boss_Komachi_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	–°“∞âV°§–°ÓÆ	Onozuka Komachi
-	18	18	SI_Boss_Remilia_0	16	24	1	1	1	1	0	0	0	4	0	1	6	1	0	31	36	1	-1	-1	-1	0	0	0	•Ï•ﬂ•Í•¢°§•π•´©`•Ï•√•»	Remilia Scarlet
-	19	19	SI_Boss_ReimuII_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	≤©˚ê°§ÎëâÙ	Hakurei Reimu
-	20	20	SI_Boss_MarisaII_0	16	24	4	1	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	ÏF”Í°§ƒß¿Ì…≥	Kirisame Marisa
-	21	21	SI_Boss_Yukari_0	16	24	1	1	2	1	2	1	0	2	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	∞ÀÎÖ°§◊œ	Yakumo Yukari
-	22	22	SI_Boss_Sanae_0	16	24	4	1	3	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	ñ|ÔLπ»°§‘Á√Á	Kotiya Sanae
#		Enemy(32~36)																											
-	32	-1	SI_EnemySprite_Blue_0	16	16	4	0	4	4	0	0	0	0	0	0	1	25	0	31	32	1	-1	-1	-1	10	54	3	_	_
-	33	-1	SI_EnemySprite_Red_0	16	16	4	0	4	4	0	0	0	0	0	0	1	25	0	31	32	1	-1	-1	-1	12	66	3	_	_
-	34	-1	SI_EnemySprite_Green_0	16	16	4	0	4	4	0	0	0	0	0	0	1	25	0	31	32	1	-1	-1	-1	12	70	3	_	_
-	35	-1	SI_EnemySprite_Big_0	16	16	4	0	4	4	0	0	0	0	0	0	1	25	0	31	32	1	-1	-1	-1	14	75	3	_	_
-	36	-1	SI_EnemySprite_Lily_0	16	16	4	0	4	0	0	0	0	0	0	0	2	1	0	31	32	75	0	400	1000	0	0	0	_	_
#		Ghost(37~43)																											
-	37	-1	SI_GhostSprite_Green_0	12	12	4	0	0	0	0	0	0	0	0	0	3	25	0	0	0	2.5	0	-1	-2	0	0	0	_	_
-	38	-1	SI_GhostSprite_GreenActive_0	16	16	8	0	0	0	0	0	0	0	0	0	3	25	40	0	32	2.5	0	-1	-2	10	54	2	_	_
-	39	-1	SI_GhostSprite_Yellow_0	12	12	4	0	0	0	0	0	0	0	0	0	3	25	0	0	0	5	0	-1	-2	0	0	0	_	_
-	40	-1	SI_GhostSprite_YellowActive_0	16	16	8	0	0	0	0	0	0	0	0	0	3	25	40	0	32	5	0	-1	-2	12	60	2	_	_
-	41	-1	SI_GhostSprite_Red_0	12	12	4	0	0	0	0	0	0	0	0	0	3	25	0	0	0	7.5	0	-1	-2	0	0	0	_	_
-	42	-1	SI_GhostSprite_RedActive_0	16	16	8	0	0	0	0	0	0	0	0	0	3	25	40	0	32	7.5	0	-1	-2	12	60	2	_	_
#		Charge(44~60)																											
-	44	-1	SI_Null	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	_	_
